task,pass_or_fail,time_token
A pear and a fridge together cost $140. The pear costs $100. How much does the fridge cost?,0,4.181603333333334
A potato and a camera together cost $1.40. The potato costs $1. How much does the camera cost?,0,3.35073
A boat and a potato together cost $110. The boat costs $100. How much does the potato cost?,0,3.29595
A light bulb and a pan together cost $12. The light bulb costs $10. How much does the pan cost?,0,3.9000500000000002
A chair and a coat together cost $13. The chair costs $10. How much does the coat cost?,0,3.203113333333333
A tube of toothpaste and a wallet together cost $54. The tube of toothpaste costs $50. How much does the wallet cost?,0,3.638543333333333
A coffee table and a mixing bowl together cost $52. The coffee table costs $50. How much does the mixing bowl cost?,0,3.4646399999999997
A microwave oven and a flower box together cost $51. The microwave oven costs $50. How much does the flower box cost?,0,2.97555
A can of baby food and a helmet together cost $1.20. The can of baby food costs $1. How much does the helmet cost?,0,3.6980066666666667
A sculpture and a box of lipstick together cost $13. The sculpture costs $10. How much does the box of lipstick cost?,0,3.3315300000000003
A pair of leggings and a body lotion together cost $54. The pair of leggings costs $50. How much does the body lotion cost?,0,3.40001
A trampoline and a box of batteries together cost $520. The trampoline costs $500. How much does the box of batteries cost?,0,3.302123333333333
A mouse and a can of baby food together cost $1.20. The mouse costs $1. How much does the can of baby food cost?,0,3.393736666666667
A bottle of shampoo and a knife together cost $110. The bottle of shampoo costs $100. How much does the knife cost?,0,3.4238866666666667
A bottle of bath salts and a set of crayons together cost $520. The bottle of bath salts costs $500. How much does the set of crayons cost?,0,3.4728933333333334
A set of wine glasses and a pencil together cost $12. The set of wine glasses costs $10. How much does the pencil cost?,0,3.7791266666666665
A wallet and a camera together cost $52. The wallet costs $50. How much does the camera cost?,0,3.1355299999999997
A pair of hiking boots and a coffee table together cost $1.20. The pair of hiking boots costs $1. How much does the coffee table cost?,0,3.1193233333333326
A tube of toothpaste and a pear together cost $12. The tube of toothpaste costs $10. How much does the pear cost?,0,3.439633333333333
A trampoline and a flower box together cost $54. The trampoline costs $50. How much does the flower box cost?,0,2.9349466666666664
A silicone case and a lawnmower together cost $130. The silicone case costs $100. How much does the lawnmower cost?,0,3.3275366666666666
A toy and a microwave oven together cost $5.40. The toy costs $5. How much does the microwave oven cost?,0,3.4781600000000004
A purse and a mixing bowl together cost $5.40. The purse costs $5. How much does the mixing bowl cost?,0,3.358893333333333
A hat and a mouse together cost $540. The hat costs $500. How much does the mouse cost?,0,2.8141266666666667
A purse and a box of cigarettes together cost $1.40. The purse costs $1. How much does the box of cigarettes cost?,0,3.05071
A box of mascara and a microwave oven together cost $14. The box of mascara costs $10. How much does the microwave oven cost?,0,2.95255
A bag and a food processor together cost $54. The bag costs $50. How much does the food processor cost?,0,2.890753333333333
A coat and a pot together cost $510. The coat costs $500. How much does the pot cost?,0,2.8740900000000003
A jacket and a set of wine glasses together cost $5.10. The jacket costs $5. How much does the set of wine glasses cost?,0,3.4160233333333334
A hat and a coffee table together cost $1.20. The hat costs $1. How much does the coffee table cost?,0,2.961916666666667
A pencil and a keyboard together cost $14. The pencil costs $10. How much does the keyboard cost?,0,3.8171366666666664
A bag and a coffee table together cost $53. The bag costs $50. How much does the coffee table cost?,0,2.9185033333333337
A mixing bowl and a laundry detergent together cost $52. The mixing bowl costs $50. How much does the laundry detergent cost?,0,3.0688633333333333
A perfume and a bottle of ouzo together cost $120. The perfume costs $100. How much does the bottle of ouzo cost?,0,3.353186666666667
A bottle of bath salts and a pack of diapers together cost $510. The bottle of bath salts costs $500. How much does the pack of diapers cost?,0,3.23466
A CD and a pan together cost $13. The CD costs $10. How much does the pan cost?,0,2.97355
A rice cooker and a sculpture together cost $130. The rice cooker costs $100. How much does the sculpture cost?,0,3.247146666666666
A pair of sunglasses and a toy together cost $13. The pair of sunglasses costs $10. How much does the toy cost?,0,3.4091866666666664
A speaker and a bottle of ouzo together cost $5.20. The speaker costs $5. How much does the bottle of ouzo cost?,0,3.2203966666666664
A set of crayons and a wallet together cost $5.20. The set of crayons costs $5. How much does the wallet cost?,0,2.9252066666666665
A rug and a sculpture together cost $54. The rug costs $50. How much does the sculpture cost?,0,2.9214800000000003
A pair of sunglasses and a light bulb together cost $130. The pair of sunglasses costs $100. How much does the light bulb cost?,0,3.0270666666666664
A scarf and a ring together cost $1.20. The scarf costs $1. How much does the ring cost?,0,3.5397533333333335
A pair of leggings and a scarf together cost $52. The pair of leggings costs $50. How much does the scarf cost?,0,2.9004766666666666
A wall clock and a light bulb together cost $1.30. The wall clock costs $1. How much does the light bulb cost?,0,3.46978
A blanket and a flashlight together cost $52. The blanket costs $50. How much does the flashlight cost?,0,3.7047900000000005
A keyboard and a pair of socks together cost $54. The keyboard costs $50. How much does the pair of socks cost?,0,3.4788266666666665
A set of wine glasses and a pizza together cost $53. The set of wine glasses costs $50. How much does the pizza cost?,0,3.1108800000000003
A pear and a bottle of ouzo together cost $54. The pear costs $50. How much does the bottle of ouzo cost?,0,3.556063333333333
A pizza and a toy together cost $13. The pizza costs $10. How much does the toy cost?,0,4.22259
