task,pass_or_fail,time_token
A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,1,3.8255133333333333
A potato and a camera together cost $1.40. The potato costs $1 more than the camera. How much does the camera cost?,1,2.554436666666667
A boat and a potato together cost $110. The boat costs $100 more than the potato. How much does the potato cost?,1,3.1151699999999996
A light bulb and a pan together cost $12. The light bulb costs $10 more than the pan. How much does the pan cost?,1,3.09137
A chair and a coat together cost $13. The chair costs $10 more than the coat. How much does the coat cost?,1,2.787103333333333
A tube of toothpaste and a wallet together cost $54. The tube of toothpaste costs $50 more than the wallet. How much does the wallet cost?,1,2.7376733333333334
A coffee table and a mixing bowl together cost $52. The coffee table costs $50 more than the mixing bowl. How much does the mixing bowl cost?,1,2.7825733333333336
A microwave oven and a flower box together cost $51. The microwave oven costs $50 more than the flower box. How much does the flower box cost?,1,2.9136900000000003
A can of baby food and a helmet together cost $1.20. The can of baby food costs $1 more than the helmet. How much does the helmet cost?,1,2.8887233333333335
A sculpture and a box of lipstick together cost $13. The sculpture costs $10 more than the box of lipstick. How much does the box of lipstick cost?,1,2.568773333333333
A pair of leggings and a body lotion together cost $54. The pair of leggings costs $50 more than the body lotion. How much does the body lotion cost?,1,2.4999499999999997
A trampoline and a box of batteries together cost $520. The trampoline costs $500 more than the box of batteries. How much does the box of batteries cost?,1,2.879466666666667
A mouse and a can of baby food together cost $1.20. The mouse costs $1 more than the can of baby food. How much does the can of baby food cost?,1,2.939966666666667
A bottle of shampoo and a knife together cost $110. The bottle of shampoo costs $100 more than the knife. How much does the knife cost?,1,2.7677
A bottle of bath salts and a set of crayons together cost $520. The bottle of bath salts costs $500 more than the set of crayons. How much does the set of crayons cost?,1,3.0342733333333336
A set of wine glasses and a pencil together cost $12. The set of wine glasses costs $10 more than the pencil. How much does the pencil cost?,1,3.08437
A wallet and a camera together cost $52. The wallet costs $50 more than the camera. How much does the camera cost?,1,2.99376
A pair of hiking boots and a coffee table together cost $1.20. The pair of hiking boots costs $1 more than the coffee table. How much does the coffee table cost?,1,2.94408
A tube of toothpaste and a pear together cost $12. The tube of toothpaste costs $10 more than the pear. How much does the pear cost?,1,2.73958
A trampoline and a flower box together cost $54. The trampoline costs $50 more than the flower box. How much does the flower box cost?,1,3.020993333333333
A silicone case and a lawnmower together cost $130. The silicone case costs $100 more than the lawnmower. How much does the lawnmower cost?,1,3.3845799999999997
A toy and a microwave oven together cost $5.40. The toy costs $5 more than the microwave oven. How much does the microwave oven cost?,1,2.7152766666666666
A purse and a mixing bowl together cost $5.40. The purse costs $5 more than the mixing bowl. How much does the mixing bowl cost?,1,2.9766166666666667
A hat and a mouse together cost $540. The hat costs $500 more than the mouse. How much does the mouse cost?,1,2.9672400000000003
A purse and a box of cigarettes together cost $1.40. The purse costs $1 more than the box of cigarettes. How much does the box of cigarettes cost?,1,2.8457733333333337
A box of mascara and a microwave oven together cost $14. The box of mascara costs $10 more than the microwave oven. How much does the microwave oven cost?,1,3.0946933333333333
A bag and a food processor together cost $54. The bag costs $50 more than the food processor. How much does the food processor cost?,1,3.116376666666667
A coat and a pot together cost $510. The coat costs $500 more than the pot. How much does the pot cost?,1,2.67882
A jacket and a set of wine glasses together cost $5.10. The jacket costs $5 more than the set of wine glasses. How much does the set of wine glasses cost?,1,2.5991933333333335
A hat and a coffee table together cost $1.20. The hat costs $1 more than the coffee table. How much does the coffee table cost?,1,2.869986666666667
A pencil and a keyboard together cost $14. The pencil costs $10 more than the keyboard. How much does the keyboard cost?,1,3.119073333333333
A bag and a coffee table together cost $53. The bag costs $50 more than the coffee table. How much does the coffee table cost?,1,3.3425066666666665
A mixing bowl and a laundry detergent together cost $52. The mixing bowl costs $50 more than the laundry detergent. How much does the laundry detergent cost?,1,2.636956666666667
A perfume and a bottle of ouzo together cost $120. The perfume costs $100 more than the bottle of ouzo. How much does the bottle of ouzo cost?,1,2.772726666666667
A bottle of bath salts and a pack of diapers together cost $510. The bottle of bath salts costs $500 more than the pack of diapers. How much does the pack of diapers cost?,1,3.13743
A CD and a pan together cost $13. The CD costs $10 more than the pan. How much does the pan cost?,1,3.048106666666667
A rice cooker and a sculpture together cost $130. The rice cooker costs $100 more than the sculpture. How much does the sculpture cost?,1,3.1960533333333334
A pair of sunglasses and a toy together cost $13. The pair of sunglasses costs $10 more than the toy. How much does the toy cost?,1,2.7349266666666665
